acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0.00574,https://api.spotify.com/v1/audio-analysis/5aVhIDZmDeMt2C2ZMX5KoH,0.632,227867,0.738,5aVhIDZmDeMt2C2ZMX5KoH,0.000172,11,0.12,-6.061,0,0.0415,124.978,4,https://api.spotify.com/v1/tracks/5aVhIDZmDeMt2C2ZMX5KoH,audio_features,spotify:track:5aVhIDZmDeMt2C2ZMX5KoH,0.8
0.00932,https://api.spotify.com/v1/audio-analysis/2YNMRnIJMCxDQWYfXRxJmB,0.609,266840,0.636,2YNMRnIJMCxDQWYfXRxJmB,0.0,9,0.112,-7.509,1,0.0253,96.026,4,https://api.spotify.com/v1/tracks/2YNMRnIJMCxDQWYfXRxJmB,audio_features,spotify:track:2YNMRnIJMCxDQWYfXRxJmB,0.585
0.0736,https://api.spotify.com/v1/audio-analysis/1tLTCEU27Nb8zWTi2cIqYt,0.352,257667,0.946,1tLTCEU27Nb8zWTi2cIqYt,0.0,8,0.374,-3.928,1,0.138,160.174,4,https://api.spotify.com/v1/tracks/1tLTCEU27Nb8zWTi2cIqYt,audio_features,spotify:track:1tLTCEU27Nb8zWTi2cIqYt,0.671
0.134,https://api.spotify.com/v1/audio-analysis/0oH7QF9L9fzDy6EFWlivCC,0.618,216387,0.59,0oH7QF9L9fzDy6EFWlivCC,0.0,3,0.206,-7.72,1,0.0341,119.953,4,https://api.spotify.com/v1/tracks/0oH7QF9L9fzDy6EFWlivCC,audio_features,spotify:track:0oH7QF9L9fzDy6EFWlivCC,0.688
0.0286,https://api.spotify.com/v1/audio-analysis/2n0NCtkvHx1oPqgiAvexiB,0.566,208813,0.748,2n0NCtkvHx1oPqgiAvexiB,0.0,4,0.288,-6.604,0,0.0275,91.956,4,https://api.spotify.com/v1/tracks/2n0NCtkvHx1oPqgiAvexiB,audio_features,spotify:track:2n0NCtkvHx1oPqgiAvexiB,0.563
0.00781,https://api.spotify.com/v1/audio-analysis/2GV5AS3HAtOKyaZKSg56O5,0.467,217067,0.758,2GV5AS3HAtOKyaZKSg56O5,0.000382,7,0.0918,-7.514,1,0.0389,145.097,4,https://api.spotify.com/v1/tracks/2GV5AS3HAtOKyaZKSg56O5,audio_features,spotify:track:2GV5AS3HAtOKyaZKSg56O5,0.784
0.169,https://api.spotify.com/v1/audio-analysis/0rRboI6IRuGx56Dq3UdYY4,0.802,197760,0.341,0rRboI6IRuGx56Dq3UdYY4,0.0,7,0.0783,-8.56,1,0.488,166.01,4,https://api.spotify.com/v1/tracks/0rRboI6IRuGx56Dq3UdYY4,audio_features,spotify:track:0rRboI6IRuGx56Dq3UdYY4,0.849
0.000439,https://api.spotify.com/v1/audio-analysis/6QjHLHUqVtWFiBstH9GRmF,0.281,248293,0.972,6QjHLHUqVtWFiBstH9GRmF,0.000664,7,0.0577,-5.874,1,0.0713,152.637,4,https://api.spotify.com/v1/tracks/6QjHLHUqVtWFiBstH9GRmF,audio_features,spotify:track:6QjHLHUqVtWFiBstH9GRmF,0.576
0.00349,https://api.spotify.com/v1/audio-analysis/77W2oPdWhhyWrzqu8fzgLi,0.492,240800,0.651,77W2oPdWhhyWrzqu8fzgLi,0.000122,2,0.647,-11.055,1,0.0548,117.904,4,https://api.spotify.com/v1/tracks/77W2oPdWhhyWrzqu8fzgLi,audio_features,spotify:track:77W2oPdWhhyWrzqu8fzgLi,0.659
0.000346,https://api.spotify.com/v1/audio-analysis/5UpyZVN6uzlRA3dyLjuMww,0.625,243947,0.703,5UpyZVN6uzlRA3dyLjuMww,9.98e-6,11,0.111,-8.04,0,0.037,118.049,4,https://api.spotify.com/v1/tracks/5UpyZVN6uzlRA3dyLjuMww,audio_features,spotify:track:5UpyZVN6uzlRA3dyLjuMww,0.547
